Country,Population,Area km2,Density km-2
South Sudan,11193725,619745,18.06
Spain,46754778,505992,92.4
Sri Lanka,21413249,65610,326.37
Sudan,43849260,1886068,23.25
Suriname,586632,163820,3.58
Swaziland,1160164,17364,66.81
Sweden,10099265,450295,22.43
Switzerland,8654622,41284,209.64
Syria,17500658,185180,94.51
Taiwan,23816775,36193,658.05
Tajikistan,9537645,143100,66.65
Tanzania,59734218,945087,63.2
Thailand,69799978,513120,136.03
Timor Leste,1318445,14874,88.64
Togo,8278724,56785,145.79
Tokelau,1357,12,113.08
Tonga,105695,747,141.49
Trinidad And Tobago,1399488,5130,272.8
Tunisia,11818619,163610,72.24
Turkey,84339067,783562,107.64
Turkmenistan,6031200,488100,12.36
Turks And Caicos Islands,38717,948,40.84
Tuvalu,11792,26,453.54
Uganda,45741007,241550,189.36
Ukraine,43733762,603500,72.47
United Arab Emirates,9890402,83600,118.31
United Kingdom,67886011,242900,279.48
United States,331002651,9372610,35.32
US,331002651,9372610,35.32
United States Virgin Islands,104425,347,300.94
Uruguay,3473730,181034,19.19
Uzbekistan,33469203,447400,74.81
Vanuatu,307145,12189,25.2
Vatican City,801,1,801
Venezuela,28435940,916445,31.03
Vietnam,97338579,331212,293.89
Wallis And Futuna,11239,142,79.15
Western Sahara,597339,266000,2.25
Yemen,29825964,527968,56.49
Zambia,18383955,752612,24.43
Zimbabwe,14862924,390757,38.04
